session,window_start_s,window_end_s,label,label_int,eye_distance_left,eye_distance_right,action_left,action_right,TP9_bp_delta,TP9_bp_theta,TP9_bp_alpha,TP9_bp_beta,TP9_bp_gamma,TP9_bp_emg,TP9_mean,TP9_std,TP9_rms,TP9_mav,TP9_peak2peak,TP9_var,TP9_kurtosis,TP9_skewness,TP9_zcr,TP9_iemg,AF7_bp_delta,AF7_bp_theta,AF7_bp_alpha,AF7_bp_beta,AF7_bp_gamma,AF7_bp_emg,AF7_mean,AF7_std,AF7_rms,AF7_mav,AF7_peak2peak,AF7_var,AF7_kurtosis,AF7_skewness,AF7_zcr,AF7_iemg,AF8_bp_delta,AF8_bp_theta,AF8_bp_alpha,AF8_bp_beta,AF8_bp_gamma,AF8_bp_emg,AF8_mean,AF8_std,AF8_rms,AF8_mav,AF8_peak2peak,AF8_var,AF8_kurtosis,AF8_skewness,AF8_zcr,AF8_iemg,TP10_bp_delta,TP10_bp_theta,TP10_bp_alpha,TP10_bp_beta,TP10_bp_gamma,TP10_bp_emg,TP10_mean,TP10_std,TP10_rms,TP10_mav,TP10_peak2peak,TP10_var,TP10_kurtosis,TP10_skewness,TP10_zcr,TP10_iemg
Jaiden,0.0,0.25,neutral,0,0.28976374305167235,0.28223345671011657,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1622.1137797831907,7886.05250972822,2995.4935789200613,41285.31160254021,137.08686522097184,41285.53919870077,41285.31160254021,432.7744761436552,18792.808616112903,-1.3990014264023762,0.0743621035703549,0.0,1981694.9569219302,0.0,0.0,0.0,1609.4907368447261,7942.918742877117,3037.8343335390996,22095.17855959279,136.12244938234892,22095.59786250453,22095.17855959279,428.326478997049,18529.32122585014,-1.4269009481664223,0.08102648920532386,0.0,1060568.5708604539,0.0,0.0,0.0,1679.6077101728347,7908.943644371807,2980.612932364924,33096.189365081715,137.4838385964488,33096.47492249323,33096.189365081715,443.2350925487408,18901.805875214388,-1.3960608597429107,0.07412862531447212,0.0,1588617.0895239222,0.0,0.0,0.0,1658.2114019923183,7769.37585998229,2986.1639095262644,18956.984790502167,134.3145609718898,18957.460609180216,18956.984790502167,418.06702829206915,18040.4012890715,-1.4478308587477833,0.0936329115536404,0.0,909935.269944104
Jaiden,0.044,0.294,neutral,0,0.2900080223087999,0.2827301394340833,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1624.0210214870308,7906.835442120839,3560.6242111582446,41296.148007648946,133.08479272345159,41296.362452783935,41296.148007648946,383.04184473059286,17711.56205424407,-1.5057492930592646,0.11725861816879336,0.0,1982215.1043671495,0.0,0.0,0.0,1606.6412509376737,8017.351622071856,3543.9016845673223,22095.627457127266,136.209721694447,22096.047289333008,22095.627457127266,419.4975399372015,18553.088284078705,-1.4264340237487825,0.1673057645340171,0.0,1060590.1179421088,0.0,0.0,0.0,1741.9483279387105,8013.742894722802,3552.6392072668077,33108.175953707214,133.09047472299355,33108.44345565189,33108.175953707214,379.57732434002537,17713.074461991782,-1.5016613921963782,0.11142624777004716,0.0,1589192.4457779462,0.0,0.0,0.0,1751.894451375083,7775.9612540747285,3544.320950407672,18972.390264706646,133.10258326407276,18972.857155789872,18972.390264706646,375.9116382493594,17716.29767156942,-1.5045120001124086,0.08428116924564184,0.0,910674.732705919
Jaiden,0.088,0.338,neutral,0,0.2902121188109923,0.28324873993993965,NEUTRAL,NEUTRAL,0.0,0.0,0.0,820.5904083431178,9550.033490951935,4613.780048467284,41298.00851295959,132.25513757059022,41298.220283178016,41298.00851295959,383.04184473059286,17491.421413815748,-1.4944470046102092,0.029386653641738508,0.0,1941006.4001091006,0.0,0.0,0.0,851.5590195078904,9820.843546576214,4603.571054252599,22078.878163548925,145.89802715987997,22079.36020801252,22078.878163548925,467.7773079606668,21286.234329145074,-1.1469664123178969,0.029722547612250426,0.0,1037707.2736867995,0.0,0.0,0.0,892.7997705573744,9608.31611856137,4587.764838032152,33112.96566701795,130.62904499890286,33113.22332864178,33112.96566701795,378.3479783949879,17063.947397325388,-1.5278465024172727,0.03818967400547639,0.0,1556309.3863498433,0.0,0.0,0.0,942.0598072284923,9401.109277355146,4613.1779148929945,18986.622747896246,131.16256458066516,18987.07578826394,18986.622747896246,371.50834459166435,17203.61834737716,-1.5379888923378995,-0.038726746526031544,0.0,892371.2691511236
Jaiden,0.132,0.382,neutral,0,0.29023958940196953,0.28360508936674506,NEUTRAL,NEUTRAL,0.0,0.0,0.0,320.4721795237681,7729.456143555933,5420.140149380914,41299.863232180345,132.9736112974561,41300.077299904704,41299.863232180345,407.0476182755956,17681.981301486947,-1.4402541395833357,-0.08635573954587318,0.0,1941093.571912476,0.0,0.0,0.0,362.4108471892928,8075.411652790538,5484.139447232528,22066.43917997503,149.41892303741113,22066.94505585444,22066.43917997503,490.93371521636436,22326.014561659795,-1.084257517129152,-0.03621778053076315,0.0,1037122.6414588264,0.0,0.0,0.0,321.19588179731176,7561.182048716403,5396.377510234641,33117.67284928642,130.6835479238584,33117.93068931182,33117.67284928642,379.33145515101205,17078.1896979674,-1.496540493545142,-0.07173768052606924,0.0,1556530.6239164616,0.0,0.0,0.0,516.0934696506363,7606.713936857499,5355.001419305537,18999.274310826986,130.29386787828338,18999.721072427797,18999.274310826986,391.66961809034547,16976.492006683562,-1.4787602522666254,-0.1338677060832277,0.0,892965.8926088683
Jaiden,0.176,0.426,neutral,0,0.29087699884432916,0.2845148903265236,NEUTRAL,NEUTRAL,0.0,0.0,0.0,201.16530489226938,6004.273911818898,5725.498736013029,41285.339542220776,130.90379969710605,41285.547070630346,41285.339542220776,406.2429554752089,17135.80477514006,-1.4358861375980017,-0.09108296491918315,0.0,1981696.2980265974,0.0,0.0,0.0,211.62516549011627,6138.462098969637,5841.13786163079,22038.157862503274,142.8509104335686,22038.620836051123,22038.157862503274,490.93371521636436,20406.382611699435,-0.9296137904681809,0.05338179150453582,0.0,1057831.5774001572,0.0,0.0,0.0,193.24086601819948,5725.140654643135,5629.794600728726,33106.05114099994,128.8792515112995,33106.30199844092,33106.05114099994,380.9631324962538,16609.861470112788,-1.504022022000884,-0.09277290112238488,0.0,1589090.454767997,0.0,0.0,0.0,419.3799853239841,5866.511830808161,5542.4886536160975,18994.656327474873,131.00777291609,18995.108108022065,18994.656327474873,391.66961809034547,17163.036564433805,-1.4906476578303247,-0.15436650265860286,0.0,911743.5037187939
Jaiden,0.22,0.47,neutral,0,0.2920624296401552,0.2858593896338628,NEUTRAL,NEUTRAL,0.0,0.0,0.0,200.6501873178101,9560.63800511641,3907.9616628969943,41281.350221496854,128.54051147022975,41281.55034362163,41281.350221496854,394.66475184735464,16522.663089028265,-1.4454799978361337,-0.14973541188864842,0.0,1981504.8106318489,0.0,0.0,0.0,159.11408686395507,9491.375669491932,3971.1060672741687,22020.152601021837,139.68826270812264,22020.59566367421,22020.152601021837,493.2135931508019,19512.810738413482,-0.9972275769883527,0.040790265458412876,0.0,1056967.3248490482,0.0,0.0,0.0,217.16689256602717,9157.521941068884,3787.9624888244925,33105.135185138606,126.44314635445072,33105.37665539485,33105.135185138606,371.1954201692861,15987.869260013045,-1.4885265385148732,-0.15305995955799995,0.0,1589046.488886653,0.0,0.0,0.0,299.05509669688854,9265.683937028924,3772.67623625973,19001.432631335574,126.58380673161633,19001.854264868758,19001.432631335574,390.75319656767533,16023.460126667198,-1.458276633167233,-0.19726301026645063,0.0,912068.7663041075
Jaiden,0.264,0.514,neutral,0,0.29438757792271897,0.2883600235886653,NEUTRAL,NEUTRAL,0.0,0.0,0.0,122.18556862640975,12643.822009954789,1429.501390870951,41257.22561514024,126.44234973006517,41257.41937065853,41257.22561514024,369.6978532907815,15987.667805260111,-1.4793135327800566,-0.0802386073903048,0.0,1939089.6039115912,0.0,0.0,0.0,120.24511394724273,12558.7689770646,1422.6859164840141,21979.991192664456,125.67584243425817,21980.35048053099,21979.991192664456,373.6988155482795,15794.417371560488,-1.456748315039661,-0.062022041928791925,0.0,1033059.5860552294,0.0,0.0,0.0,134.1133601116113,12344.247274141228,1400.3923024689163,33084.61652151314,125.32758333812497,33084.85389689256,33084.61652151314,378.9291237508223,15707.003145374658,-1.469771130214352,-0.06822970036930752,0.0,1554976.9765111178,0.0,0.0,0.0,116.91855791483144,12295.487751283239,1391.2570283154405,18988.421825540387,127.69489119510602,18988.851187207085,18988.421825540387,390.75319656767533,16305.985237329965,-1.4042500598425298,-0.08935466820796018,0.0,892455.8258003981
Jaiden,0.308,0.558,neutral,0,0.29705675321360364,0.29107639594290896,NEUTRAL,NEUTRAL,0.0,0.0,0.0,252.7909413416728,11186.910188756669,1334.4732262708376,41254.66372477043,130.58604533906842,41254.87040046456,41254.66372477043,369.6978532907815,17052.71523729723,-1.560868788187153,-0.051288899930210984,0.0,1938969.19506421,0.0,0.0,0.0,213.12801325640118,11386.809181475277,1322.8927263657856,21978.721423351784,130.26324161814452,21979.10744132754,21978.721423351784,366.32273987803273,16968.5121168671,-1.5512445676593185,-0.04699691179317581,0.0,1032999.9068975338,0.0,0.0,0.0,302.47847058627775,11113.57617705329,1337.1889635230248,33084.85668387379,130.0038408790029,33085.11210183686,33084.85668387379,378.9291237508223,16900.998643293107,-1.5338955617263665,-0.03767108997688015,0.0,1554988.264142068,0.0,0.0,0.0,350.6017997184499,10947.44856882328,1331.7348419602104,18984.85315553203,130.37423612741807,18985.300808218984,18984.85315553203,385.56759185404735,16997.441445807766,-1.5201660849331171,-0.04108505220735081,0.0,892288.0983100054
Jaiden,0.352,0.602,neutral,0,0.2997752880504843,0.29425887079887386,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1089.3423257843665,9480.105382494414,2373.8183279526893,41255.356628848545,125.39934315267398,41255.54720966311,41255.356628848545,372.84944925897435,15724.995263122082,-1.3884333389347243,-0.05893662209366666,0.0,1939001.7615558817,0.0,0.0,0.0,954.9357095334883,9720.560088413702,2373.419510885118,21981.318030260845,125.26111142589255,21981.67492921106,21981.318030260845,372.17889692532117,15690.34603564987,-1.388896894023886,-0.054228175050470055,0.0,1033121.9474222597,0.0,0.0,0.0,1220.5540950929258,9497.97674126764,2347.2498810004786,33086.27815970734,125.66360794974223,33086.516797691016,33086.27815970734,378.9291237508223,15791.342362946518,-1.36328752927965,-0.048106837890005055,0.0,1555055.0735062452,0.0,0.0,0.0,1260.49942437955,9499.80705902489,2384.1932627089554,18983.438337664917,124.98477565933389,18983.849775903534,18983.438337664917,385.56759185404735,15621.194146614023,-1.3526590497098354,-0.06247587148903242,0.0,892221.601870251
Jaiden,0.396,0.646,neutral,0,0.30279988975124184,0.2975887215819023,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1611.2164686247843,8620.340382252123,2730.2498746835886,41249.29502597989,124.92508433807274,41249.484195769364,41249.29502597989,357.8290769850064,15606.276696874587,-1.489030747519767,-0.035957971667521314,0.0,1938716.866221055,0.0,0.0,0.0,1472.3053076451833,8682.461160172308,2725.0057055527323,21976.49908927009,124.90680602744925,21976.854049906255,21976.49908927009,356.5103240621502,15601.710191978833,-1.483352572247565,-0.02949690588896725,0.0,1032895.4571956943,0.0,0.0,0.0,1731.6218337394093,8779.485823400788,2678.3512714707617,33078.89542607065,125.7688398340441,33079.13451724503,33078.89542607065,362.3217776205274,15817.801073201437,-1.471828018551685,-0.03064457296819722,0.0,1554708.0850253208,0.0,0.0,0.0,1625.023497746356,8773.94205342168,2705.44081876362,18976.211590670384,124.76361131672422,18976.621730239603,18976.211590670384,367.9320654788098,15565.958708790637,-1.4684012474620696,-0.035814210395401176,0.0,891881.944761508
