timestamp,ear_left,ear_right,action_left,action_right,EMG_1,EMG_2,EMG_3,EMG_4,EEG_Frontal_1,EEG_Frontal_2,EEG_Behind_Left_Ear,EEG_Behind_Right_Ear
1774186990.155574,0.28503125706014126,0.28243234290881886,NEUTRAL,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774186990.1699255,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774186990.1745424,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,19089.26148286599,22072.03472519335,4186.459384734558,21595.875513061943,21399.604844999893,33432.37589983653,41422.65515597524,20275.848540764873
1774186990.1786675,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,19206.94341742318,21851.534766141747,3983.6620072915566,21408.14321138182,21174.880406246237,33210.35602216196,41199.540042822366,20052.487558422992
1774186990.1827831,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,19206.94341742318,21851.534766141747,3983.6620072915566,21408.14321138182,21174.880406246237,33210.35602216196,41199.540042822366,20052.487558422992
1774186990.1870418,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,19098.24688413702,22037.92596315455,4150.808352328343,21566.818245270046,21362.903280604278,33398.37889652001,41388.032303813976,20232.41910128821
1774186990.1911573,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,19111.54617208793,22095.32524291578,4215.851928693286,21633.71701642478,21422.314217366486,33460.13676645002,41449.25373187706,20299.20611372067
1774186990.1952667,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,19205.825830200414,21876.456961209413,4003.644466834601,21431.545487826526,21199.355566424798,33235.00999629617,41223.29994717836,20081.20955004806
1774186990.1993823,0.2729204936414727,0.27613270624487046,NEUTRAL,NEUTRAL,19156.674344143194,21842.549364870712,3955.4317540445036,21380.918786635255,21160.374124094742,33190.79824576357,41182.99975192544,20043.904488552154
1774186990.213326,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19194.381737039297,21905.62598772359,4033.059362537785,21459.59692711794,21236.235944776054,33264.33548502153,41256.13465978321,20105.41648929316
1774186990.2173967,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19141.542213146953,21989.176808497527,4103.400302338637,21520.550134247558,21320.859649283844,33351.35082618604,41340.53484684644,20193.43765895816
1774186990.221684,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19102.896046983726,22119.733347860976,4233.0180684349625,21645.451682263814,21451.662057836304,33486.91415630748,41472.25367692157,20326.184669278227
1774186990.2258914,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19209.335054079897,21972.59181411169,4097.387683080159,21516.88444815689,21301.54774207446,33337.2692271792,41320.84295998132,20176.98677503905
1774186990.2300305,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19216.912295450245,21844.426911404957,3965.1100593936517,21388.18310358323,21169.94067072161,33201.30356565757,41189.414702584116,20048.26307872094
1774186990.2342093,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19157.434303454676,21960.946555250473,4070.878514156165,21484.183846018776,21288.91900645721,33318.02437520318,41309.443570309115,20164.42509465517
1774186990.2384372,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19157.434303454676,21960.946555250473,4070.878514156165,21484.183846018776,21288.91900645721,33318.02437520318,41309.443570309115,20164.42509465517
1774186990.2428699,0.2697276887969454,0.27430408155931607,NEUTRAL,NEUTRAL,19102.001977205513,22112.156106490627,4220.12111188425,21624.686911664834,21443.458967621205,33472.02789450024,41465.548153584976,20322.362520976367
1774186990.2560167,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19098.358642859297,22066.17856814606,4190.9967888589845,21594.824981072543,21405.32689158045,33437.60620803907,41430.321804323416,20277.05553496546
1774186990.2601347,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19155.243832498054,22014.099003565196,4152.417677929125,21561.74439927869,21354.163748522253,33391.22633829431,41378.53281242047,20226.38413028528
1774186990.2655194,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19212.665464003738,21806.160724897472,3952.034288887297,21369.809969640966,21144.70555123157,33180.56114680304,41168.58287675177,20017.06004346133
1774186990.2700539,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19172.007640839536,21877.172217031984,4011.55698437178,21422.42597608876,21213.34775845382,33250.18683078132,41239.23674097499,20081.656584937165
1774186990.2741892,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19108.528686586462,22042.999809145906,4169.807335115353,21577.211806441763,21379.577681967938,33418.58487350761,41408.30533603494,20249.54053754098
1774186990.2782931,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19136.378960177775,22055.44973080751,4185.721777167532,21598.401260185394,21391.222940829153,33432.264141114254,41420.15176059625,20260.358781857347
1774186990.2823946,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19219.236876873598,21835.9556002564,3975.16834439854,21398.621368243857,21170.298298632897,33210.75835356216,41198.44480734406,20043.01041877394
1774186990.2880495,0.2665260641500367,0.2723278810190392,NEUTRAL,NEUTRAL,19116.575314590373,22014.635445432123,4135.899738776653,21549.16036715035,21354.9907630671,33386.688934169884,41382.44436770015,20218.449261003647
1774186990.2993462,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19189.95609163715,21851.13243474155,3967.680510006012,21384.226844814642,21186.23509242953,33210.177208206325,41206.55849058134,20042.36221818474
1774186990.3034627,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19130.008713008014,22001.291453992304,4103.892040716653,21515.07395685601,21332.75077733407,33357.0728727666,41354.37057666428,20194.510542692013
1774186990.3075814,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19088.81444797688,22086.89863525613,4194.237791805004,21604.771507355155,21419.43084233175,33447.99976921079,41443.12935389631,20287.225578692625
1774186990.3116927,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19188.436173014186,21892.505513728323,4016.183795474028,21437.423996618272,21222.82489810287,33256.26650527317,41245.94226431158,20094.73235544352
1774186990.315801,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19138.54707938994,21954.5316045918,4071.6384734676453,21484.988508819166,21288.762544246023,33325.73572704026,41312.90809069969,20166.83908305634
1774186990.3199053,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19077.392706560222,22075.387486861648,4184.425375989124,21597.46248691827,21404.164600868775,33442.545943563695,41430.6794322347,20289.416049649248
1774186990.3240216,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19177.03678334198,21955.626840070112,4062.1836855630504,21483.37918321838,21278.54779702995,33310.38007859947,41296.05487538038,20155.149120706217
1774186990.3284988,0.2661500071618657,0.2729183117815639,NEUTRAL,NEUTRAL,19177.03678334198,21955.626840070112,4062.1836855630504,21483.37918321838,21278.54779702995,33310.38007859947,41296.05487538038,20155.149120706217
1774186990.3429615,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19182.33414677789,22001.02323305884,4127.920166006108,21548.288649116595,21337.69051285869,33362.45964318033,41360.29378894494,20220.729138938088
1774186990.3470342,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19208.37392906832,21814.07324243465,3937.4162480135265,21362.165673037252,21151.992219924,33167.06069315204,41165.699501717034,20023.609104586736
1774186990.3511472,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19167.090257059368,21919.5734762637,4028.164330502073,21445.112996710897,21256.374866530285,33267.46472924527,41269.031616333916,20122.761442990475
1774186990.3554738,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19167.090257059368,21919.5734762637,4028.164330502073,21445.112996710897,21256.374866530285,33267.46472924527,41269.031616333916,20122.761442990475
1774186990.3601418,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19100.884389982748,22084.03761196585,4182.369015499236,21594.489704905714,21421.822478988466,33431.12420214703,41434.05454564745,20283.604596090867
1774186990.364463,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19215.66059776075,21839.196603202417,3958.3374808236936,21382.304594791483,21177.406153369684,33189.34538237398,41189.81703398431,20045.558517641846
1774186990.3686388,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19174.600443196352,21896.484124241368,4003.2644871788607,21420.66018827679,21237.889973865746,33245.336502234524,41247.66334863465,20101.5943409913
1774186990.3727515,0.2668340344117498,0.27322406468979327,NEUTRAL,NEUTRAL,19109.378052875763,22060.23300412095,4155.278701219404,21568.36051563746,21401.81766770097,33410.538245503696,41413.78151342649,20262.72806676961
1774186990.3872266,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19115.72594830107,22101.829600552275,4211.470986780047,21626.02801633215,21454.746598571135,33467.49049037582,41466.86690650784,20307.655073124777
1774186990.3914068,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19115.72594830107,22101.829600552275,4211.470986780047,21626.02801633215,21454.746598571135,33467.49049037582,41466.86690650784,20307.655073124777
1774186990.3957062,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19231.66444679075,21904.642510967555,4032.4335136930367,21456.646496849837,21256.956011886123,33269.67755194635,41269.590409945304,20117.084099898828
1774186990.39984,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19204.238856344087,21852.205318475404,3972.508486808358,21397.168504854264,21202.082479248344,33212.680603585315,41212.99579298446,20059.21543350404
1774186990.4039497,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19133.74145433205,21989.333270708714,4097.767662735899,21514.917494644822,21337.44464366968,33349.54033488516,41347.977977750066,20195.203446770127
1774186990.4080477,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19104.706538284605,22122.214391495516,4222.0433619074065,21633.6052577025,21464.49195915365,33477.90640329199,41475.51703161204,20320.507326186576
1774186990.4123425,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19201.17666735371,21938.14777590606,4054.248816281416,21473.075029024487,21277.653727251738,33292.58809001304,41289.34935204379,20138.295905386916
1774186990.4164839,0.2664544996768897,0.27267132755572226,NEUTRAL,NEUTRAL,19193.957053894646,21824.757376284288,3950.000280141864,21369.072362073945,21168.197234654097,33185.47853058321,41181.83746121376,20031.611029101736
1774186990.4292917,0.26678372501505065,0.2729903300028325,NEUTRAL,NEUTRAL,19198.449754530164,21801.39980332849,3943.7641434388333,21359.595222424894,21149.310010589365,33164.154966372844,41166.50416451743,20004.632473544178
1774186990.433407,0.26678372501505065,0.2729903300028325,NEUTRAL,NEUTRAL,19162.03876281247,21919.484069285878,4057.869798883176,21468.984659789166,21271.73051497108,33284.51911026467,41291.338657300315,20122.06853891236
1774186990.4375105,0.26678372501505065,0.2729903300028325,NEUTRAL,NEUTRAL,19096.369337602777,22064.166911145083,4198.30580929587,21606.961978311778,21418.961455698187,33431.97356843633,41439.128391638806,20269.210072661648
1774186990.4416544,0.26678372501505065,0.2729903300028325,NEUTRAL,NEUTRAL,19166.240890770066,21988.841532330698,4133.239881186471,21547.953372949767,21342.31732396094,33357.385797188974,41361.70194884562,20195.5163711925
1774186990.4458783,0.26678372501505065,0.2729903300028325,NEUTRAL,NEUTRAL,19166.240890770066,21988.841532330698,4133.239881186471,21547.953372949767,21342.31732396094,33357.385797188974,41361.70194884562,20195.5163711925
1774186990.4500475,0.26678372501505065,0.2729903300028325,NEUTRAL,NEUTRAL,19209.71503373564,21801.623320773044,3943.4735707609143,21366.881891117322,21147.968905922047,33162.03155064959,41165.38657729466,20000.698566520045
1774186990.4541981,0.26678372501505065,0.2729903300028325,NEUTRAL,NEUTRAL,19164.296289002454,21891.276167783282,4017.5696036302575,21435.166470428285,21233.73254939706,33246.789365624114,41250.77024111393,20087.6915559401
