session,timestamp,label,eye_distance_left,eye_distance_right,action_left,action_right,EMG_1,EMG_2,EMG_3,EMG_4,EEG_Frontal_1,EEG_Frontal_2,EEG_Behind_Left_Ear,EEG_Behind_Right_Ear,ECG_1,label_int
bci_recording_2026-03-22T00-08-23,1774138091.378,trigger,34.81492280960083,29.867255687713623,LOOKING_UP,LOOKING_UP,-13.248940425471467,-4.751208491149366,7.0385962299428275,-17.516518283703753,-71.52749621065458,36.84755199826275,-13.335208622314013,65.94514709540174,0.02628381080000615,1
bci_recording_2026-03-22T00-08-23,1774138091.408,trigger,34.25339698791504,30.33921718597412,LOOKING_UP,LOOKING_UP,-7.737255658610995,-7.526379310906427,2.1336070079080893,-9.359798416931739,-56.18936594747326,-6.689935903992428,140.77324537195295,-64.62682115949316,-0.011664191357287015,1
bci_recording_2026-03-22T00-08-23,1774138091.458,trigger,34.58105564117432,29.6480655670166,LOOKING_UP,LOOKING_UP,-5.358085201800566,-7.113117654422059,-22.983426073519457,3.9011708623428425,33.24396015695454,41.96053268387888,60.41664521740423,-11.86918463502179,0.016025729971545027,1
bci_recording_2026-03-22T00-08-23,1774138091.482,trigger,34.329121112823486,29.73893880844116,LOOKING_UP,LOOKING_UP,12.894118985683622,10.757762147060578,9.382038604087684,8.541977098633224,78.82161981215327,205.8597218423935,17.94498419848082,-17.76411838490784,-0.03783377378951129,1
bci_recording_2026-03-22T00-08-23,1774138091.505,trigger,34.22758340835571,29.827280044555664,LOOKING_UP,LOOKING_UP,-10.112230033684394,-4.559350774025883,-0.8798932214831827,-6.081843090775877,10.08606859066137,-60.28399233139964,31.591262919171868,-26.221812583072612,-0.007351994853538684,1
bci_recording_2026-03-22T00-08-23,1774138091.544,trigger,34.679481983184814,29.70173120498657,LOOKING_UP,LOOKING_UP,-8.56669111676518,-25.79166548617645,12.909240955079706,1.8464701995281438,32.553838850010045,-60.710730917227046,-75.35311015777086,-54.6293653723434,-0.018897920150756052,1
bci_recording_2026-03-22T00-08-23,1774138091.566,trigger,34.49179172515869,29.997010231018063,LOOKING_UP,LOOKING_UP,-4.501617197101431,14.425403480789752,7.136283349125936,11.829273025717214,-21.78842536541855,145.19803948165435,50.87667906305605,44.088026358228326,0.008695899867216247,1
bci_recording_2026-03-22T00-08-23,1774138091.61,trigger,34.508464336395264,30.25239944458008,LOOKING_UP,LOOKING_UP,2.818816552300591,-6.6267368566532525,8.65940876475096,3.551393463846673,58.32946671448437,75.4041046862782,-91.8580613657258,-71.60415991741328,-0.02164820577800715,1
bci_recording_2026-03-22T00-08-23,1774138091.631,trigger,34.06652212142944,30.662219524383545,LOOKING_UP,LOOKING_UP,-6.720341547483647,-2.867546093782332,-7.947067236087929,5.469315616292079,-13.852706203827537,56.68409935925864,-41.784740265686146,58.456614206232615,0.050163201834776724,1
bci_recording_2026-03-22T00-08-23,1774138091.677,trigger,34.36205863952637,30.29192447662353,LOOKING_UP,LOOKING_UP,-5.292326326855822,-3.1951157304094093,7.689971273911457,-5.0320892202054885,9.659081953025591,-57.873102256716166,-11.054725049954868,-145.77663419869103,-0.03464733141570019,1
